Saint_ID,Name,Country,Born,Born2,Born Location,Died,Died2,Died Location,Age,Feast,Beatified,Beatified Location,Canonised,Canonised_Location,Bio,Is_Married,Is_Layperson,Is_Martyr,Latitude,Longitude
72254,Saint Crescens,Turkiye,,,,117,117 AD,"Galatia, Turkiye",,,,,,,Bishop. One of 72 disciples sent by Jesus (Luke 10). Disciple of Saint Paul of Tarsus.,FALSE,FALSE,FALSE,38.963745,35.243322
72256,Saint Anastasius Sinaita,Egypt, ,,,710?,710? AD,,,,,,,,Bishop. Abbot of Saint Catherine's Monastery at Mount Sinai.,FALSE,FALSE,FALSE,31.7768831,35.2224346
72257,Saint Marcellinus van Deventer,Netherlands, ,,Netherlands,762,762 AD,"Oldenzaal, Netherlands",,7.14,,,,,Priest. Collaborator of Saint Lebuinus van Deventer.,FALSE,FALSE,FALSE,52.3116551,6.9268283
72259,Saint Wandregesilus van Fontenelle,France,600,600 AD,"Verdun, France",668.07.22 ,668.07.22 ,"Saint-Wandrille-Rançon, France ",67,7.22,,,,,Abbot. Abbot of Fontenelle. Disciple of Saint Baldéric de Montfauçon.,FALSE,FALSE,FALSE,49.15983631545278,5.385029660417597
72261,Saint Landoaldus van Maastricht,Belgium,,,,668,668 AD,"Wintershoven, Belgium",,,,,,,Priest.,FALSE,FALSE,FALSE,50.85263,5.41968
72263,Saint Iria de Tomar,Portugal,635,635 AD,"Tomar, Portugal",653,653 AD,"Santarém, Portugal ",18,,,,,,Layperson. Martyr.,FALSE,TRUE,TRUE,39.600496257142645,-8.416421333
72264,Saint Antipas of Pergamum,Turkiye,,,,68,68 AD,"Pergamum, Turkiye",,4.11,,,,,Bishop of Pergamus (Turkiye) (? – 68?),FALSE,FALSE,FALSE,38.963745,35.243322
72265,Saint Carpus of Thyatira,Turkiye,,,,200,200 AD,"Pergamum, Turkiye",,4.13,,,,,Bishop of Thyatira (Turkiye) (? – 200?),FALSE,FALSE,FALSE,38.963745,35.243322
72266,Saint Papylus,Turkiye,,,,200,200 AD,"Pergamum, Turkiye",,4.13,,,,,Deacon. Deacon of Saint Carpus of Thyatira. Brother of Saint Agathonica. Martyr.,FALSE,FALSE,TRUE,38.963745,35.243322
72267,Saint Agathonica,Turkiye,,,,200,200 AD,"Pergamum, Turkiye",,4.13,,,,,Layperson. Sister of Saint Papylus. Martyr.,FALSE,TRUE,TRUE,38.963745,35.243322
72268,Saint Carpus of Troas,Turkiye,,,,I century ,I century ,Turkiye,,,,,,,Layperson. Disciple of Saint Paul of Tarsus.,FALSE,TRUE,FALSE,31.7768831,35.2224346
72269,Saint Philologus of Sinope,Turkiye,,,Turkiye,,,,,,,,,,Bishop of Sinope (Turkiye) (50? – ?),FALSE,FALSE,FALSE,39.9334,32.8597
72270,Saint Parrobus of Pottole,Italy,,,Italy,I century ,I century ,Italy,,,,,,,Bishop. One of the Seventy Disciples (Rom. 16:14).,FALSE,FALSE,FALSE,41.8967068,12.4822025
72271,Saint Torpes of Pisa,Italy,,,,65,65 AD,"Pisa, Italy",,4.29,,,,,Layperson. Martyr.,FALSE,TRUE,TRUE,43.7228385,10.4017581
72272,Saint Syntyche,Greece,,,,I century ,I century ,"Philippi, Greece",,,,,,,Layperson. Member of the church in Philippi (Phil. 4:2-3).,FALSE,TRUE,FALSE,41.0251024,24.3386534
72273,Saint Sebastiana,Bulgaria,,,,90,90 AD,"Marcianopolis, Bulgaria",,,,,,,Layperson. Disciple of Saint Paul of Tarsus. Martyr.,FALSE,TRUE,TRUE,42.733883,25.48583
72274,Saint Hierotheos,Greece,,,,I century ,I century ,"Athens, Greece",,,,,,,Layperson. Disciple of Saint Paul of Tarsus. Leader of the church in Athens.,FALSE,TRUE,FALSE,37.9838096,23.7275388
72275,Saint Rustique,France,,,,250,250 AD,"Paris, France",,10.09,,,,,Priest. Companion of Saint Denis de Paris. Martyr.,FALSE,FALSE,TRUE,48.8575475,2.3513765
72276,Saint Éleuthère,France,,,,250,250 AD,"Paris, France",,10.09,,,,,Deacon. Companion of Saint Denis de Paris. Martyr.,FALSE,FALSE,TRUE,48.8575475,2.3513765
72277,Saint Zenaida,Turkiye,,,,100,100 AD,"Tarsus, Turkiye",,,,,,,Layperson. Disciple of Saint Paul of Tarsus. Physician.,FALSE,TRUE,FALSE,36.9165612,34.8952102
72278,Saint Philonella,Turkiye,,,,100,100 AD,"Tarsus, Turkiye",,,,,,,Layperson. Disciple of Saint Paul of Tarsus. Physician.,FALSE,TRUE,FALSE,36.9165612,34.8952102
72279,Saint Ampliatus,Greece,,,Greece,I century,I century,Greece,,,,,,,Layperson. Disciple of Saint Paul of Tarsus (Rom. 16:8-11). Martyr.,FALSE,TRUE,TRUE,37.9838096,23.7275388
72280,Saint Urban,Greece,,,Greece,I century,I century,Greece,,,,,,,Layperson. Disciple of Saint Paul of Tarsus (Rom. 16:8-11)disciple of Saint Paul of Tarsus (Rom. 16:8-11). Martyr.,FALSE,TRUE,TRUE,37.9838096,23.7275388
72281,Saint Narcissus,Greece,,,Greece,I century,I century,Greece,,,,,,,Layperson. Disciple of Saint Paul of Tarsus (Rom. 16:8-11). Martyr.,FALSE,TRUE,TRUE,37.9838096,23.7275388
72282,Saint Tryphena,Turkiye,,,,I century ,I century ,"Iconium, Turkiye",,,,,,,Layperson. Disciple of Saint Paul of Tarsus (Rom. 16:12).,FALSE,TRUE,FALSE,37.8746429,32.4931554
72283,Saint Tryphosa,Turkiye,,,,I century ,I century ,"Iconium, Turkiye",,,,,,,Layperson. Disciple of Saint Paul of Tarsus (Rom. 16:12).,FALSE,TRUE,FALSE,37.8746429,32.4931554
72284,Saint Apphia,Turkiye,,,,I century ,I century ,"Colossae, Turkiye",,,,,,,Layperson. Wife of Saint Philemon of Colossae.,FALSE,TRUE,FALSE,37.787828,29.261542
72285,Saint Sosthenes,Greece,,,,I century ,I century ,"Corinth, Greece",,,,,,,Layperson. Disciple of Saint Paul of Tarsus (1 Cor. 1:1-2). Chief ruler of the synagogue at Corinth. One of the Seventy Disciples.,FALSE,TRUE,FALSE,37.9386365,22.9322383
72286,Saint Sophia,Italy,,,,II century ,II century ,"Roma, Italy",,,,,,,"Layperson. Widow. Mother of Saint Fides, Saint Spes and Saint Caritas.",FALSE,TRUE,FALSE,41.8967068,12.4822025
72287,Saint Fides,Italy,,,,II century,II century,"Roma, Italy",,,,,,,Layperson. Daughter of Saint Sophia. Sister of Saint Spes and Saint Caritas. Martyr.,FALSE,TRUE,TRUE,41.8967068,12.4822025
72288,Saint Spes,Italy,,,,II century,II century,"Roma, Italy",,,,,,,Layperson. Daughter of Saint Sophia. Sister of Saint Fides and Saint Caritas. Martyr.,FALSE,TRUE,TRUE,41.8967068,12.4822025
72289,Saint Caritas,Italy,,,,II century,II century,"Roma, Italy",,,,,,,Layperson. Daughter of Saint Sophia. Sister of Saint Fides and Saint Spes. Martyr.,FALSE,TRUE,TRUE,41.8967068,12.4822025
72290,Saint Adrian of Nicomedia,Turkiye,,,,306.03.04,306.03.04,"Nicomedia, Turkiye",,9.08,,,,,Layperson. Husband of Natalia. Martyr.,FALSE,TRUE,TRUE,40.7654408,29.9408089
72292,Saint John Mark,Lebanon,,,,,,,,,,,,,Bishop of Byblus (Lebanon) (50? – ?),FALSE,FALSE,FALSE,33.8938,35.5017
72293,Saint Adelbert van Egmond,Netherlands, ,,Netherlands,740,740 AD,"Egmond, Netherlands",,6.25,,,,,Deacon. Abbot. Missionary with Saint Willibrord.,FALSE,FALSE,FALSE,52.6186114,4.6302431
72294,Saint Richard of Wessex,Italy, ,,Italy,720,720 AD,"Lucca, Italy",,2.07,,,,,"Layperson. Father of Saint Willibald, Saint Winibald and Saint Walpurga.",FALSE,TRUE,FALSE,43.8430391,10.5156532
72295,Saint Lucius of Britain,England,,,,II century ,II century ,England,,12.03,,,,,Layperson. King of the Britons. Possibly legendary.,FALSE,TRUE,FALSE,51.5072,-0.1276
72296,Saint Gérin d’Autun,France,,,,677,677 AD,France,,,,,,,Layperson. Brother of Saint Léger d’Autun. Martyr.,FALSE,TRUE,TRUE,48.8575,2.3514
72303,Saint Herculanus,Italy,,,,II century,II century,"Roma, Italy",,,,,,,Layperson. Soldier. Martyr.,FALSE,TRUE,TRUE,41.8967068,12.4822025
72304,Saint Zenobios of Aegæ,Turkiye,,,,290,290 AD,Turkiye,,,,,,,Bishop of Ægeæ (Turkiye) (? – 290?),FALSE,FALSE,FALSE,41.89481123,12.48441069165163
72305,Saint Zenobia of Aegæ,Turkiye,,,,290,290 AD,Turkiye,,,,,,,Layperson. Sister of Saint Zenobios of Aegæ. Martyr.,FALSE,TRUE,TRUE,41.89481123,12.48441069165163
72308,Saint Philo,Turkiye,,,,150,150 AD,Turkiye,,,,,,,Deacon. Deacon of Saint Ignatius of Antioch.,FALSE,FALSE,FALSE,41.89481123,12.48441069165163
72309,Saint Agathopodes,Turkiye,,,,150,150 AD,Turkiye,,,,,,,Deacon. Deacon of Saint Ignatius of Antioch.,FALSE,FALSE,FALSE,41.89481123,12.48441069165163
72310,Saint Basil the Elder,Turkiye,,,,IV century ,IV century ,Turkiye,,5.3,,,,,"Layperson. Son of Saint Macrina the Elder. Husband of Saint Emmelia of Caesarea. Father of Saint Basil of Caesarea, Saint Gregory of Nyssa, Saint Peter of Sebaste, Saint Naucratius of Caesarea and Saint Macrina the Younger.",FALSE,TRUE,FALSE,31.7768831,35.2224346
72311,Saint Emmelia of Caesarea,Turkiye,300?,300? AD,,373.05.30 ,373.05.30 ,"Cæsarea in Cappadocia, Turkiye ",72,5.3,,,,,"Layperson. Wife of Saint Basil the Elder. Mother of Saint Basil of Caesarea, Saint Gregory of Nyssa, Saint Peter of Sebaste, Saint Naucratius of Caesarea and Saint Macrina the Younger.",FALSE,TRUE,FALSE,38.6586639,34.8531604
72312,Saint Macrina the Elder,Turkiye,,,,340,340 AD,Turkiye,,,,,,,Layperson. Mother of Saint Basil the Elder.,FALSE,TRUE,FALSE,33.8938,35.5018
72314,Saint Lucius of Caesarea,Turkiye,,,,I century,I century,Turkiye,,,,,,,Bishop of Cesarea in Cappadocia. Companion of Saint Absalon of Caesarea and Saint Lorgius of Caesarea. Martyr.,FALSE,FALSE,TRUE,52.2297,21.0122
72315,Saint Absalon of Caesarea,Turkiye,,,,I century,I century,Turkiye,,,,,,,Layperson. Companion of Saint Lucius of Caesarea and Saint Lorgius of Caesarea. Martyr.,FALSE,TRUE,TRUE,55.9533,3.1883
72316,Saint Lorgius of Caesarea,Turkiye,,,,I century,I century,Turkiye,,,,,,,Layperson. Companion of Saint Lucius of Caesarea and Saint Absalon of Caesarea. Martyr.,FALSE,TRUE,TRUE,55.9533,3.1883
72317,Saint Vittorino,Italy,,,Italy,VI century ,VI century ,Italy,,,,,,,Layperson. Twin brother of Saint Severino.,FALSE,TRUE,FALSE,41.8967068,12.4822025
72318,Saint Antonino,Italy,,,,303,303 AD,"Capua, Italy",,,,,,,Layperson. Boy. Companion of Saint Aristeo di Capua. Martyr.,FALSE,TRUE,TRUE,41.1005481,14.2165423
72321,Saint Valery de Leuconay,France,550,550 AD,"Auvergne, France",622.12.12 ,622.12.12 ,"Saint-Valery-sur-Somme, France ",71,4.01,,,,,Abbot. Founder of Abbey of Saint-Valery-sur-Somme.,FALSE,FALSE,FALSE,45.29483314,4.660731029335424
72322,Saint Arsenius of Scetis,Italy,350,350 AD,"Roma, Italy",445,445 AD,"Troe, Egypt ",95,5.08,,,,,Deacon. Anchorite.,FALSE,FALSE,FALSE,41.8933203,12.4829321
72323,Saint John Climacus,Egypt,579,579 AD,Egypt,649.03,649.03 AD,"Mount Sinai, Egypt ",69,3.3,,,,,Abbot. Monk at the monastery on Mount Sinai.,FALSE,FALSE,FALSE,28.5392576,33.9749193
72324,Saint Ananias,Iraq,,,Iraq,B.C. ,B.C. ,Iraq,,,,,,,Layperson. Companion of Saint Daniel (Dan. 3:25). Companion of Saint Azarias and Saint Misael.,FALSE,TRUE,FALSE,48.8575475,2.3513765
72325,Saint Azarias,Iraq,,,Iraq,B.C. ,B.C. ,Iraq,,,,,,,Layperson. Companion of Saint Daniel (Dan. 3:25). Companion of Saint Ananias and Saint Misael.,FALSE,TRUE,FALSE,48.8575475,2.3513765
72326,Saint Misael,Iraq,,,Iraq,B.C. ,B.C. ,Iraq,,,,,,,Layperson. Companion of Saint Daniel (Dan. 3:25). Companion of Saint Ananias and Saint Azarias.,FALSE,TRUE,FALSE,48.8575475,2.3513765
72327,Saint Domitius,Palestine,,,,361,361 AD,Palestine,,,,,,,"Layperson. Companion of Saint Pelagia, Saint Aquila, Saint Eparchius and Saint Theodosia. Martyr.",FALSE,TRUE,TRUE,48.8575,2.3514
72328,Saint Pelagia,Palestine,,,,361,361 AD,Palestine,,,,,,,"Layperson. Companion of Saint Domitius, Saint Aquila, Saint Eparchius and Saint Theodosia. Martyr.",FALSE,TRUE,TRUE,48.8575,2.3514
72329,Saint Aquila,Palestine,,,,361,361 AD,Palestine,,,,,,,"Layperson. Companion of Saint Domitius, Saint Pelagia, Saint Eparchius and Saint Theodosia. Martyr.",FALSE,TRUE,TRUE,48.8575,2.3514
72330,Saint Eparchius,Palestine,,,,361,361 AD,Palestine,,,,,,,"Layperson. Companion of Saint Domitius, Saint Pelagia, Saint Aquila and Saint Theodosia. Martyr.",FALSE,TRUE,TRUE,48.8575,2.3514
72331,Saint Theodosia,Palestine,,,,361,361 AD,Palestine,,,,,,,"Layperson. Companion of Saint Domitius, Saint Pelagia, Saint Aquila and Saint Eparchius. Martyr.",FALSE,TRUE,TRUE,48.8575,2.3514
